timestamp, name, index, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/11/17 00:20:01.579, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:01.784, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:01.987, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:02.190, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:02.394, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:02.597, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:20:02.801, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.94 W
2025/11/17 00:20:03.005, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:03.209, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:03.414, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:03.617, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:20:03.821, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:04.024, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:04.228, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:04.431, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:20:04.635, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.38 W
2025/11/17 00:20:04.838, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:05.042, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.94 W
2025/11/17 00:20:05.246, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:05.450, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:05.653, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:05.856, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:20:06.060, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:06.263, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:20:06.467, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:06.670, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:20:06.876, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:07.079, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:07.283, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:07.486, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:07.689, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:20:07.893, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:20:08.097, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:20:08.300, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.94 W
2025/11/17 00:20:08.505, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:08.708, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:08.912, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:09.115, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:09.318, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:09.522, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:09.725, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:09.929, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:10.132, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:10.338, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.38 W
2025/11/17 00:20:10.541, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:10.744, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:10.948, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:11.151, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:11.355, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:20:11.559, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 54.00 W
2025/11/17 00:20:11.762, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:20:11.967, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:12.172, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:20:12.378, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.38 W
2025/11/17 00:20:12.583, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.33 W
2025/11/17 00:20:12.789, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:12.996, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:13.202, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:13.408, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:13.613, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:20:13.820, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:14.026, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:20:14.231, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:14.437, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:14.643, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.33 W
2025/11/17 00:20:14.851, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:20:15.057, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:15.264, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:15.471, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:15.677, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:15.883, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:16.089, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:16.295, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:20:16.502, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:16.708, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.22 W
2025/11/17 00:20:16.914, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:17.121, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:17.328, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:17.533, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:20:17.737, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:17.941, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:18.144, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:18.348, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:18.553, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:18.757, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.55 W
2025/11/17 00:20:18.960, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:19.164, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:20:19.367, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.38 W
2025/11/17 00:20:19.571, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.44 W
2025/11/17 00:20:19.774, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:20:19.978, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
